Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365),,
09-Sep-21,503681,16.2,16.2,0,0.0082,0.0082,0.1567,0.82,15.67
09-Sep-21,503689,3.2,3.2,0,0,0,0,0,0
09-Sep-21,503691,38.9,38.75,0.0039,0.0251,0.025,0.4776,2.5,47.76
09-Sep-21,503696,55,55,0,0,0,0,0,0
09-Sep-21,503772,11.75,11.75,0,0.0179,0.0179,0.342,1.79,34.2
09-Sep-21,503776,31.5,31.5,0,0.0314,0.0313,0.598,3.13,59.8
09-Sep-21,503804,649.95,641.25,0.0135,0.0313,0.0312,0.5961,3.12,59.61
09-Sep-21,503816,3.97,3.79,0.0464,0.0269,0.0271,0.5177,2.71,51.77
09-Sep-21,503837,2.88,2.87,0.0035,0.0219,0.0218,0.4165,2.18,41.65
09-Sep-21,503863,3.6,3.43,0.0484,0.011,0.0115,0.2197,1.15,21.97
09-Sep-21,504000,58.55,55.1,0.0607,0.0314,0.0316,0.6037,3.16,60.37
09-Sep-21,504028,84.25,82.5,0.021,0.0365,0.0365,0.6973,3.65,69.73
09-Sep-21,504076,9.67,9.86,-0.0195,0.0356,0.0355,0.6782,3.55,67.82
09-Sep-21,504080,210,200.1,0.0483,0.029,0.0292,0.5579,2.92,55.79
09-Sep-21,504084,4000,3819.05,0.0463,0.0293,0.0294,0.5617,2.94,56.17
09-Sep-21,504092,33.55,33,0.0165,0.0367,0.0367,0.7012,3.67,70.12
09-Sep-21,504093,292.35,297.7,-0.0181,0.0317,0.0317,0.6056,3.17,60.56
09-Sep-21,504132,372.9,369,0.0105,0.0376,0.0375,0.7164,3.75,71.64
09-Sep-21,504176,2168.8,2065.55,0.0488,0.0463,0.0463,0.8846,4.63,88.46
09-Sep-21,504180,21.9,20.9,0.0467,0.0309,0.031,0.5923,3.1,59.23
09-Sep-21,504240,42.7,43.15,-0.0105,0.0373,0.0372,0.7107,3.72,71.07
09-Sep-21,504258,404.9,409.75,-0.0119,0.0281,0.028,0.5349,2.8,53.49
09-Sep-21,504273,18.2,18,0.011,0.0363,0.0363,0.6935,3.63,69.35
09-Sep-21,504340,3.51,3.45,0.0172,0.0147,0.0148,0.2828,1.48,28.28
09-Sep-21,504341,52,52.85,-0.0162,0.0432,0.0431,0.8234,4.31,82.34
09-Sep-21,504356,10.3,10.6,-0.0287,0.0067,0.007,0.1337,0.7,13.37
09-Sep-21,504375,120,120,0,0.0045,0.0045,0.086,0.45,8.6
09-Sep-21,504378,6.06,6.19,-0.0212,0.0328,0.0328,0.6266,3.28,62.66
09-Sep-21,504380,52.55,50.05,0.0487,0.0213,0.0216,0.4127,2.16,41.27
09-Sep-21,504392,10.5,10,0.0488,0.0339,0.034,0.6496,3.4,64.96
09-Sep-21,504397,15.43,15.43,0,0.0048,0.0048,0.0917,0.48,9.17
09-Sep-21,504398,14,13.4,0.0438,0.0107,0.0112,0.214,1.12,21.4
09-Sep-21,504605,630.1,634.75,-0.0074,0.03,0.03,0.5731,3,57.31
09-Sep-21,504646,163,162,0.0062,0.0339,0.0338,0.6457,3.38,64.57
09-Sep-21,504648,37.85,36.05,0.0487,0.0483,0.0483,0.9228,4.83,92.28
09-Sep-21,504697,2.14,2.25,-0.0501,0.0289,0.029,0.554,2.9,55.4
09-Sep-21,504717,0.35,0.35,0,0,0,0,0,0
09-Sep-21,504731,18.05,18.05,0,0.0083,0.0083,0.1586,0.83,15.86
09-Sep-21,504746,455,455,0,0.0144,0.0144,0.2751,1.44,27.51
09-Sep-21,504786,329.95,334,-0.0122,0.034,0.0339,0.6477,3.39,64.77
09-Sep-21,504810,32,32.05,-0.0016,0.0347,0.0346,0.661,3.46,66.1
09-Sep-21,504840,1621.15,1592.5,0.0178,0.0366,0.0366,0.6992,3.66,69.92
